label,lat,long
02-Cyrtophora citricola,27.979443,-15.475025
09-Apis mellifera,27.978966,-15.478381
10-Pararge aegeria,27.979066,-15.478011
11-Pimelia granulicollis,27.978708,-15.478904
12-Turdus merula,27.978604,-15.479076
